cf_id,contact_id,company_name,description,goal,pledged,outcome,backers_count,country,currency,launched_date,end_date,staff_pick,spotlight,category & sub-category,category,subcategory,subcategory_id
118,2900,"Reeves, Thompson and Richardson",Proactive composite alliance,131800,131800,successful,1396,US,USD,2020-04-12 05:00:00+00:00,2021-04-09 05:00:00+00:00,False,False,film & video/drama,film & video,drama,subcat7
711,5695,Simmons-Reynolds,Re-engineered intangible definition,94000,94000,failed,558,US,USD,2021-03-14 06:00:00+00:00,2021-04-29 05:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
1747,5708,Collier Inc,Enhanced dynamic definition,59100,59100,successful,890,US,USD,2020-07-06 05:00:00+00:00,2021-08-04 05:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
1825,1663,Gray-Jenkins,Devolved next generation adapter,4500,4500,successful,142,GB,GBP,2021-07-23 05:00:00+00:00,2021-09-12 05:00:00+00:00,False,False,film & video/documentary,film & video,documentary,subcat5
1019,3605,"Scott, Wilson and Martin",Cross-platform intermediate frame,92400,92400,successful,2673,US,USD,2021-05-01 05:00:00+00:00,2021-10-01 05:00:00+00:00,False,False,technology/wearables,technology,wearables,subcat9
821,4678,"Caldwell, Velazquez and Wilson",Monitored impactful analyzer,5500,5500,successful,163,US,USD,2020-10-09 05:00:00+00:00,2021-05-23 05:00:00+00:00,False,True,games/video games,games,video games,subcat12
2653,2251,Spencer-Bates,Optional responsive customer loyalty,107500,107500,canceled,1480,US,USD,2020-11-20 06:00:00+00:00,2021-07-27 05:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
2502,6202,"Best, Carr and Williams",Diverse transitional migration,2000,2000,failed,15,US,USD,2021-01-08 06:00:00+00:00,2021-10-15 05:00:00+00:00,False,False,music/rock,music,rock,subcat2
325,3715,"Campbell, Brown and Powell",Synchronized global task-force,130800,130800,successful,2220,US,USD,2020-12-23 06:00:00+00:00,2021-12-23 06:00:00+00:00,False,True,theater/plays,theater,plays,subcat4
1345,4242,"Johnson, Parker and Haynes",Focused 6thgeneration forecast,45900,45900,successful,1606,CH,CHF,2020-11-06 06:00:00+00:00,2021-08-27 05:00:00+00:00,False,False,film & video/shorts,film & video,shorts,subcat13
2303,4326,Clark-Cooke,Down-sized analyzing challenge,9000,9000,successful,129,US,USD,2020-10-28 05:00:00+00:00,2021-02-15 06:00:00+00:00,False,False,film & video/animation,film & video,animation,subcat11
2224,5560,Schroeder Ltd,Progressive needs-based focus group,3500,3500,successful,226,GB,GBP,2020-11-25 06:00:00+00:00,2021-02-05 06:00:00+00:00,False,False,games/video games,games,video games,subcat12
1173,4002,Jackson PLC,Ergonomic 6thgeneration success,101000,101000,failed,2307,IT,EUR,2021-02-21 06:00:00+00:00,2021-11-26 06:00:00+00:00,False,False,film & video/documentary,film & video,documentary,subcat5
210,3813,"Blair, Collins and Carter",Exclusive interactive approach,50200,50200,successful,5419,US,USD,2021-04-04 05:00:00+00:00,2021-12-09 06:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
1546,5336,Maldonado and Sons,Reverse-engineered asynchronous archive,9300,9300,successful,165,US,USD,2021-01-26 06:00:00+00:00,2021-12-10 06:00:00+00:00,False,False,film & video/documentary,film & video,documentary,subcat5
2871,4994,Mitchell and Sons,Synergized intangible challenge,125500,125500,successful,1965,DK,DKK,2021-03-16 05:00:00+00:00,2021-03-25 05:00:00+00:00,False,True,film & video/drama,film & video,drama,subcat7
2034,1471,Jackson-Lewis,Monitored multi-state encryption,700,700,successful,16,US,USD,2021-04-07 05:00:00+00:00,2021-11-26 06:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
2677,4482,"Black, Armstrong and Anderson",Profound attitude-oriented functionalities,8100,8100,successful,107,US,USD,2020-11-20 06:00:00+00:00,2021-10-18 05:00:00+00:00,False,True,publishing/fiction,publishing,fiction,subcat14
1865,3241,Maldonado-Gonzalez,Digitized client-driven database,3100,3100,successful,134,US,USD,2021-08-23 05:00:00+00:00,2022-01-10 06:00:00+00:00,False,False,photography/photography books,photography,photography books,subcat15
170,3477,Kim-Rice,Organized bi-directional function,9900,9900,failed,88,DK,DKK,2021-04-14 05:00:00+00:00,2021-05-01 05:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
462,2265,"Garcia, Garcia and Lopez",Reduced stable middleware,8800,8800,successful,198,US,USD,2020-11-18 06:00:00+00:00,2021-03-18 05:00:00+00:00,False,True,technology/wearables,technology,wearables,subcat9
3122,5911,Watts Group,Universal 5thgeneration neural-net,5600,5600,successful,111,IT,EUR,2021-03-17 05:00:00+00:00,2021-07-08 05:00:00+00:00,False,True,music/rock,music,rock,subcat2
1175,2288,Werner-Bryant,Virtual uniform frame,1800,1800,successful,222,US,USD,2020-06-20 05:00:00+00:00,2021-01-30 06:00:00+00:00,False,False,food/food trucks,food,food trucks,subcat1
2301,4064,Schmitt-Mendoza,Profound explicit paradigm,90200,90200,successful,6212,US,USD,2020-11-14 06:00:00+00:00,2021-07-06 05:00:00+00:00,False,False,publishing/radio & podcasts,publishing,radio & podcasts,subcat16
91,1294,Reid-Mccullough,Visionary real-time groupware,1600,1600,successful,98,DK,DKK,2020-11-25 06:00:00+00:00,2021-03-01 06:00:00+00:00,False,False,publishing/fiction,publishing,fiction,subcat14
87,5008,Woods-Clark,Networked tertiary Graphical User Interface,9500,9500,failed,48,US,USD,2021-01-18 06:00:00+00:00,2021-03-20 05:00:00+00:00,False,True,theater/plays,theater,plays,subcat4
1482,3604,"Vaughn, Hunt and Caldwell",Virtual grid-enabled task-force,3700,3700,successful,92,US,USD,2021-05-23 05:00:00+00:00,2021-09-23 05:00:00+00:00,False,False,music/rock,music,rock,subcat2
1711,3263,Bennett and Sons,Function-based multi-state software,1500,1500,successful,149,US,USD,2020-12-18 06:00:00+00:00,2021-06-27 05:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
2294,5631,Lamb Inc,Optimized leadingedge concept,33300,33300,successful,2431,US,USD,2021-02-22 06:00:00+00:00,2021-11-10 06:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
2389,2851,Casey-Kelly,Sharable holistic interface,7200,7200,successful,303,US,USD,2021-01-25 06:00:00+00:00,2022-01-30 06:00:00+00:00,False,False,music/rock,music,rock,subcat2
378,3714,"Jones, Taylor and Moore",Down-sized system-worthy secured line,100,100,failed,1,IT,EUR,2021-10-08 05:00:00+00:00,2021-11-03 05:00:00+00:00,False,False,music/metal,music,metal,subcat17
1213,1664,"Bradshaw, Gill and Donovan",Inverse secondary infrastructure,158100,158100,failed,1467,GB,GBP,2020-09-07 05:00:00+00:00,2021-07-29 05:00:00+00:00,False,True,technology/wearables,technology,wearables,subcat9
29,5027,"Hernandez, Rodriguez and Clark",Organic foreground leverage,7200,7200,failed,75,US,USD,2021-03-12 06:00:00+00:00,2022-01-05 06:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
2309,3070,Smith-Jones,Reverse-engineered static concept,8800,8800,successful,209,US,USD,2021-10-14 05:00:00+00:00,2021-12-24 06:00:00+00:00,False,False,film & video/drama,film & video,drama,subcat7
2101,4248,Roy PLC,Multi-channeled neutral customer loyalty,6000,6000,failed,120,US,USD,2021-03-30 05:00:00+00:00,2021-05-24 05:00:00+00:00,False,False,technology/wearables,technology,wearables,subcat9
1057,2034,"Wright, Brooks and Villarreal",Reverse-engineered bifurcated strategy,6600,6600,successful,131,US,USD,2021-09-29 05:00:00+00:00,2021-11-29 06:00:00+00:00,False,False,music/jazz,music,jazz,subcat18
2655,4085,"Flores, Miller and Johnson",Horizontal context-sensitive knowledge user,8000,8000,successful,164,US,USD,2021-03-03 06:00:00+00:00,2021-05-22 05:00:00+00:00,False,False,technology/wearables,technology,wearables,subcat9
202,3569,"Bridges, Freeman and Kim",Cross-group multi-state task-force,2900,2900,successful,201,US,USD,2021-07-23 05:00:00+00:00,2021-12-04 06:00:00+00:00,False,False,games/video games,games,video games,subcat12
2025,3889,Anderson-Perez,Expanded 3rdgeneration strategy,2700,2700,successful,211,US,USD,2021-02-09 06:00:00+00:00,2021-06-11 05:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
2395,3136,"Wright, Fox and Marks",Assimilated real-time support,1400,1400,successful,128,US,USD,2020-12-10 06:00:00+00:00,2021-03-07 06:00:00+00:00,False,True,theater/plays,theater,plays,subcat4
1418,2103,Crawford-Peters,User-centric regional database,94200,94200,successful,1600,CA,CAD,2020-10-20 05:00:00+00:00,2021-08-24 05:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
1905,2329,Romero-Hoffman,Open-source zero administration complexity,199200,199200,failed,2253,CA,CAD,2021-06-15 05:00:00+00:00,2021-10-26 05:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
1969,3325,Sparks-West,Organized incremental standardization,2000,2000,successful,249,US,USD,2021-08-19 05:00:00+00:00,2021-11-21 06:00:00+00:00,False,False,technology/web,technology,web,subcat3
2430,3131,"Baker, Morgan and Brown",Assimilated didactic open system,4700,4700,failed,5,US,USD,2021-06-25 05:00:00+00:00,2021-07-16 05:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
1291,4995,Mosley-Gilbert,Vision-oriented logistical intranet,2800,2800,failed,38,US,USD,2021-05-21 05:00:00+00:00,2021-09-23 05:00:00+00:00,False,True,technology/web,technology,web,subcat3
1934,3631,Berry-Boyer,Mandatory incremental projection,6100,6100,successful,236,US,USD,2021-02-23 06:00:00+00:00,2021-11-20 06:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
1225,5373,Sanders-Allen,Grass-roots needs-based encryption,2900,2900,failed,12,US,USD,2021-10-05 05:00:00+00:00,2021-11-06 05:00:00+00:00,False,True,theater/plays,theater,plays,subcat4
1363,3126,Lopez Inc,Team-oriented 6thgeneration middleware,72600,72600,successful,4065,GB,GBP,2020-11-03 06:00:00+00:00,2021-09-24 05:00:00+00:00,False,True,technology/wearables,technology,wearables,subcat9
963,2194,Moreno-Turner,Inverse multi-tasking installation,5700,5700,successful,246,IT,EUR,2020-08-10 05:00:00+00:00,2021-02-07 06:00:00+00:00,False,True,theater/plays,theater,plays,subcat4
1486,2906,Jones-Watson,Switchable disintermediate moderator,7900,7900,canceled,17,US,USD,2021-06-27 05:00:00+00:00,2022-01-17 06:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
676,2611,Barker Inc,Re-engineered 24/7 task-force,128000,128000,successful,2475,IT,EUR,2021-08-08 05:00:00+00:00,2022-01-30 06:00:00+00:00,False,True,theater/plays,theater,plays,subcat4
2137,2374,"Tate, Bass and House",Organic object-oriented budgetary management,6000,6000,successful,76,US,USD,2021-03-19 05:00:00+00:00,2021-06-05 05:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
2656,3254,"Hampton, Lewis and Ray",Seamless coherent parallelism,600,600,successful,54,US,USD,2021-07-27 05:00:00+00:00,2021-11-30 06:00:00+00:00,False,False,film & video/animation,film & video,animation,subcat11
1556,3571,Collins-Goodman,Cross-platform even-keeled initiative,1400,1400,successful,88,US,USD,2020-05-11 05:00:00+00:00,2021-03-09 06:00:00+00:00,False,False,music/jazz,music,jazz,subcat18
747,2812,Davis-Michael,Progressive tertiary framework,3900,3900,successful,85,GB,GBP,2021-06-29 05:00:00+00:00,2021-08-27 05:00:00+00:00,False,False,music/metal,music,metal,subcat17
60,3961,"White, Torres and Bishop",Multi-layered dynamic protocol,9700,9700,successful,170,US,USD,2021-02-25 06:00:00+00:00,2021-03-31 05:00:00+00:00,False,False,photography/photography books,photography,photography books,subcat15
2459,3872,"Martin, Conway and Larsen",Horizontal next generation function,122900,122900,failed,1684,US,USD,2020-12-13 06:00:00+00:00,2021-12-26 06:00:00+00:00,True,True,theater/plays,theater,plays,subcat4
1903,4736,Acevedo-Huffman,Pre-emptive impactful model,9500,9500,failed,56,US,USD,2021-06-17 05:00:00+00:00,2021-08-27 05:00:00+00:00,False,True,film & video/animation,film & video,animation,subcat11
2003,5119,"Montgomery, Larson and Spencer",User-centric bifurcated knowledge user,4500,4500,successful,330,US,USD,2020-12-24 06:00:00+00:00,2021-04-16 05:00:00+00:00,False,False,publishing/translations,publishing,translations,subcat19
2885,5725,Soto LLC,Triple-buffered reciprocal project,57800,57800,failed,838,US,USD,2021-06-13 05:00:00+00:00,2021-11-18 06:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
2067,4037,"Sutton, Barrett and Tucker",Cross-platform needs-based approach,1100,1100,successful,127,US,USD,2021-06-26 05:00:00+00:00,2021-10-21 05:00:00+00:00,False,False,games/video games,games,video games,subcat12
1610,2109,"Gomez, Bailey and Flores",User-friendly static contingency,16800,16800,successful,411,US,USD,2020-11-01 05:00:00+00:00,2021-03-04 06:00:00+00:00,False,False,music/rock,music,rock,subcat2
2909,3283,Porter-George,Reactive content-based framework,1000,1000,successful,180,GB,GBP,2020-10-09 05:00:00+00:00,2021-11-11 06:00:00+00:00,False,True,games/video games,games,video games,subcat12
1239,6181,Fitzgerald PLC,Realigned user-facing concept,106400,106400,failed,1000,US,USD,2021-06-25 05:00:00+00:00,2021-08-08 05:00:00+00:00,False,False,music/electric music,music,electric music,subcat6
2480,3251,Cisneros-Burton,Public-key zero tolerance orchestration,31400,31400,successful,374,US,USD,2021-07-03 05:00:00+00:00,2021-10-05 05:00:00+00:00,False,False,technology/wearables,technology,wearables,subcat9
2181,3443,"Hill, Lawson and Wilkinson",Multi-tiered eco-centric architecture,4900,4900,successful,71,AU,AUD,2021-05-29 05:00:00+00:00,2021-08-20 05:00:00+00:00,False,False,music/indie rock,music,indie rock,subcat8
2030,2988,Davis-Smith,Organic motivating firmware,7400,7400,successful,203,US,USD,2021-05-16 05:00:00+00:00,2021-09-12 05:00:00+00:00,True,False,theater/plays,theater,plays,subcat4
2311,1673,Farrell and Sons,Synergized 4thgeneration conglomeration,198500,198500,failed,1482,AU,AUD,2020-08-23 05:00:00+00:00,2021-03-24 05:00:00+00:00,False,True,music/rock,music,rock,subcat2
2821,2085,Clark Group,Grass-roots fault-tolerant policy,4800,4800,successful,113,US,USD,2020-07-21 05:00:00+00:00,2021-02-22 06:00:00+00:00,False,False,publishing/translations,publishing,translations,subcat19
2468,1672,"White, Singleton and Zimmerman",Monitored scalable knowledgebase,3400,3400,successful,96,US,USD,2020-07-23 05:00:00+00:00,2021-01-18 06:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
656,4426,Kramer Group,Synergistic explicit parallelism,7800,7800,failed,106,US,USD,2021-10-09 05:00:00+00:00,2021-11-15 06:00:00+00:00,False,True,theater/plays,theater,plays,subcat4
2791,3211,"Frazier, Patrick and Smith",Enhanced systemic analyzer,154300,154300,failed,679,IT,EUR,2020-07-03 05:00:00+00:00,2021-06-17 05:00:00+00:00,False,False,publishing/translations,publishing,translations,subcat19
1527,3190,"Santos, Bell and Lloyd",Object-based analyzing knowledge user,20000,20000,successful,498,CH,CHF,2020-08-05 05:00:00+00:00,2021-05-15 05:00:00+00:00,False,True,games/video games,games,video games,subcat12
1891,2081,Hall and Sons,Pre-emptive radical architecture,108800,108800,canceled,610,US,USD,2020-11-22 06:00:00+00:00,2021-12-05 06:00:00+00:00,False,True,theater/plays,theater,plays,subcat4
580,3185,Hanson Inc,Grass-roots web-enabled contingency,2900,2900,successful,180,GB,GBP,2021-03-14 06:00:00+00:00,2021-08-29 05:00:00+00:00,False,False,technology/web,technology,web,subcat3
682,5044,Sanchez LLC,Stand-alone system-worthy standardization,900,900,successful,27,US,USD,2021-08-06 05:00:00+00:00,2021-09-05 05:00:00+00:00,False,False,film & video/documentary,film & video,documentary,subcat5
3097,1883,Howard Ltd,Down-sized systematic policy,69700,69700,successful,2331,US,USD,2021-10-18 05:00:00+00:00,2021-12-26 06:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
873,2067,Stewart LLC,Cloned bi-directional architecture,1300,1300,successful,113,US,USD,2020-11-29 06:00:00+00:00,2021-06-11 05:00:00+00:00,False,False,food/food trucks,food,food trucks,subcat1
1668,4604,"Arias, Allen and Miller",Seamless transitional portal,97800,97800,failed,1220,AU,AUD,2021-02-14 06:00:00+00:00,2021-11-03 05:00:00+00:00,False,False,games/video games,games,video games,subcat12
3076,3203,Baker-Morris,Fully-configurable motivating approach,7600,7600,successful,164,US,USD,2020-08-23 05:00:00+00:00,2021-02-06 06:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
3146,5758,"Tucker, Fox and Green",Upgradable fault-tolerant approach,100,100,failed,1,US,USD,2021-06-22 05:00:00+00:00,2021-10-23 05:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
253,5755,Douglas LLC,Reduced heuristic moratorium,900,900,successful,164,US,USD,2021-10-06 05:00:00+00:00,2022-01-27 06:00:00+00:00,False,True,music/electric music,music,electric music,subcat6
3088,5150,Garcia Inc,Front-line web-enabled model,3700,3700,successful,336,US,USD,2020-09-18 05:00:00+00:00,2021-08-18 05:00:00+00:00,False,True,technology/wearables,technology,wearables,subcat9
393,4181,"Frye, Hunt and Powell",Polarized incremental emulation,10000,10000,failed,37,IT,EUR,2021-05-10 05:00:00+00:00,2021-08-03 05:00:00+00:00,False,False,music/electric music,music,electric music,subcat6
2912,3006,"Smith, Wells and Nguyen",Self-enabling grid-enabled initiative,119200,119200,successful,1917,US,USD,2021-07-09 05:00:00+00:00,2021-10-15 05:00:00+00:00,False,False,music/indie rock,music,indie rock,subcat8
478,4865,Charles-Johnson,Total fresh-thinking system engine,6800,6800,successful,95,US,USD,2020-10-08 05:00:00+00:00,2021-07-23 05:00:00+00:00,False,False,technology/web,technology,web,subcat3
1061,2862,"Brandt, Carter and Wood",Ameliorated clear-thinking circuit,3900,3900,successful,147,US,USD,2021-03-05 06:00:00+00:00,2021-05-19 05:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
2957,6070,"Tucker, Schmidt and Reid",Multi-layered encompassing installation,3500,3500,successful,86,US,USD,2021-05-07 05:00:00+00:00,2021-12-28 06:00:00+00:00,False,True,theater/plays,theater,plays,subcat4
2015,5300,Decker Inc,Universal encompassing implementation,1500,1500,successful,83,US,USD,2020-10-14 05:00:00+00:00,2021-07-23 05:00:00+00:00,False,False,film & video/documentary,film & video,documentary,subcat5
1179,3486,Romero and Sons,Object-based client-server application,5200,5200,failed,60,US,USD,2020-10-01 05:00:00+00:00,2021-06-12 05:00:00+00:00,False,False,film & video/television,film & video,television,subcat20
2568,5989,Castillo-Carey,Cross-platform solution-oriented process improvement,142400,142400,failed,296,US,USD,2020-05-05 05:00:00+00:00,2021-05-30 05:00:00+00:00,False,False,food/food trucks,food,food trucks,subcat1
2869,2849,Hart-Briggs,Re-engineered user-facing approach,61400,61400,successful,676,US,USD,2021-03-17 05:00:00+00:00,2021-10-27 05:00:00+00:00,False,False,publishing/radio & podcasts,publishing,radio & podcasts,subcat16
718,1612,Jones-Meyer,Re-engineered client-driven hub,4700,4700,successful,361,AU,AUD,2020-10-24 05:00:00+00:00,2021-04-12 05:00:00+00:00,False,False,technology/web,technology,web,subcat3
1211,3307,"Wright, Hartman and Yu",User-friendly tertiary array,3300,3300,successful,131,US,USD,2021-01-29 06:00:00+00:00,2021-02-13 06:00:00+00:00,False,False,food/food trucks,food,food trucks,subcat1
2431,5288,Harper-Davis,Robust heuristic encoding,1900,1900,successful,126,US,USD,2021-07-02 05:00:00+00:00,2021-12-31 06:00:00+00:00,False,True,technology/wearables,technology,wearables,subcat9
468,6026,Barrett PLC,Team-oriented clear-thinking capacity,166700,166700,failed,3304,IT,EUR,2021-03-20 05:00:00+00:00,2021-04-16 05:00:00+00:00,False,False,publishing/fiction,publishing,fiction,subcat14
1862,2212,David-Clark,De-engineered motivating standardization,7200,7200,failed,73,US,USD,2021-09-02 05:00:00+00:00,2021-12-31 06:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
2300,4591,Chaney-Dennis,Business-focused 24hour groupware,4900,4900,successful,275,US,USD,2021-06-18 05:00:00+00:00,2021-12-31 06:00:00+00:00,False,False,film & video/television,film & video,television,subcat20
449,2771,"Robinson, Lopez and Christensen",Organic next generation protocol,5400,5400,successful,67,US,USD,2020-10-07 05:00:00+00:00,2021-10-17 05:00:00+00:00,False,False,photography/photography books,photography,photography books,subcat15
283,5682,Clark and Sons,Reverse-engineered full-range Internet solution,5000,5000,successful,154,US,USD,2021-07-27 05:00:00+00:00,2021-11-01 05:00:00+00:00,False,True,film & video/documentary,film & video,documentary,subcat5
2484,5368,Vega Group,Synchronized regional synergy,75100,75100,successful,1782,US,USD,2021-04-15 05:00:00+00:00,2021-10-08 05:00:00+00:00,False,True,games/mobile games,games,mobile games,subcat21
1490,3706,Brown-Brown,Multi-lateral homogeneous success,45300,45300,successful,903,US,USD,2020-06-21 05:00:00+00:00,2021-04-14 05:00:00+00:00,False,False,games/video games,games,video games,subcat12
186,4034,Taylor PLC,Seamless zero-defect solution,136800,136800,failed,3387,US,USD,2020-05-21 05:00:00+00:00,2021-01-28 06:00:00+00:00,False,False,publishing/fiction,publishing,fiction,subcat14
2999,3209,Edwards-Lewis,Enhanced scalable concept,177700,177700,failed,662,CA,CAD,2022-01-15 06:00:00+00:00,2022-02-03 06:00:00+00:00,True,False,theater/plays,theater,plays,subcat4
2819,2384,"Stanton, Neal and Rodriguez",Polarized uniform software,2600,2600,successful,94,IT,EUR,2020-07-19 05:00:00+00:00,2021-02-28 06:00:00+00:00,False,False,photography/photography books,photography,photography books,subcat15
2105,3074,Pratt LLC,Stand-alone web-enabled moderator,5300,5300,successful,180,US,USD,2020-05-10 05:00:00+00:00,2021-05-02 05:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
1324,2031,Gross PLC,Proactive methodical benchmark,180200,180200,failed,774,US,USD,2020-03-24 05:00:00+00:00,2021-03-11 06:00:00+00:00,False,True,theater/plays,theater,plays,subcat4
1952,5873,"Martinez, Gomez and Dalton",Team-oriented 6thgeneration matrix,103200,103200,failed,672,CA,CAD,2021-03-03 06:00:00+00:00,2021-06-16 05:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
2404,5501,Allen-Curtis,Phased human-resource core,70600,70600,canceled,532,US,USD,2020-09-13 05:00:00+00:00,2021-09-17 05:00:00+00:00,False,False,music/rock,music,rock,subcat2
990,3489,Morgan-Martinez,Mandatory tertiary implementation,148500,148500,canceled,55,AU,AUD,2021-03-23 05:00:00+00:00,2021-12-06 06:00:00+00:00,False,False,food/food trucks,food,food trucks,subcat1
1459,4210,"Luna, Anderson and Fox",Secured directional encryption,9600,9600,successful,533,DK,DKK,2020-10-10 05:00:00+00:00,2021-07-13 05:00:00+00:00,False,False,film & video/drama,film & video,drama,subcat7
1106,6151,"Fleming, Zhang and Henderson",Distributed 5thgeneration implementation,164700,164700,successful,2443,GB,GBP,2021-07-17 05:00:00+00:00,2022-01-18 06:00:00+00:00,False,False,technology/web,technology,web,subcat3
1488,6047,Flowers and Sons,Virtual static core,3300,3300,successful,89,US,USD,2020-10-20 05:00:00+00:00,2021-11-02 05:00:00+00:00,False,True,theater/plays,theater,plays,subcat4
2107,5445,Gates PLC,Secured content-based product,4500,4500,successful,159,US,USD,2020-07-09 05:00:00+00:00,2021-05-18 05:00:00+00:00,False,False,music/world music,music,world music,subcat22
2660,5493,Caldwell LLC,Secured executive concept,99500,99500,failed,940,CH,CHF,2021-07-23 05:00:00+00:00,2021-07-28 05:00:00+00:00,False,True,film & video/documentary,film & video,documentary,subcat5
